,idiom,sentence
0,as pale as a ghost,My grandfather was as pale as a ghost when he entered the hospital. 
1,at death’s door,The sales manager was at death’s door after his heart attack.
2,back on her feet,My mother is back on her feet after being sick for two weeks.
3,feeling on top of the world,I have been feeling on top of the world since I quit my job.
4,going under the knife,I’m going under the knife next month to try to solve my knee problems. Hope it helps!
5,green around the gills,My colleague was looking a little green around the gills when he came to work today.
6,has one foot in the grave,My uncle is very sick and has one foot in the grave .
7,sick as a dog,Did you have a good vacation? – Not really. I was sick as a dog the whole time.
8,under the weather,My boss has been under the weather all week and has not come to work during that time.
9,all the rage ,"A few years ago Uggs were all the rage , but now you don’t see them so much."
10,at the drop of a hat,"Jacob is unpredictable. He won’t leave the office for weeks, but then he’ll take off for New York at the drop of a hat ."
11,knock your socks off,Wait until you try the new Yamaha scooters. They’ll knock your socks off! 
12,old hat,The carmaker’s sales declined because many consumers found their designs old hat .
13,ballpark figure,"A ballpark figure for the cost of the new stadium would be $150,000,000."
14,hit it out of the park,Francesca hit it out of the park with her speech today. It was fabulous.
15,kicked ass,"Madrid won most of our matches during the season, but we kicked ass in the playoffs."
16,on deck,"I’ll call you back in an hour. The speaker is almost finished, and I’m on deck ."
17,second wind ,I thought I was totally exhausted after mile nine of the race. But then I got my second wind .
18, take a hike,Maybe you could take a hike while we discuss salaries.
19,threw in the towel,"After losing his queen, the chess player threw in the towel and resigned."
20,tough sledding,"Our competitor’s model dominates the market, so ours is facing tough sledding ."
21,chin music,Can you guys please be quiet? Your chin music is distracting me from my work.
22,music to my ears,News of the new president was music to my ears – she’s terrific.
23,singing a different tune,"You may say you’re in love with your boyfriend, but you’ll be singing a different tune when you find out what he’s been up to."
24,whistling Dixie,"If you think you can get a ticket for under $200 at Christmastime, you’re whistling Dixie ."
25,around the clock,The restaurant is open around the clock .
26,behind the times,"Blackberry phones used to be extremely popular, but now many people think they’re behind the times ."
27,call time,The boxer is ready to call time on his long career.
28,call it a day,You all look tired. Let’s call it a day .
29,carry the day,Teamwork and training will carry the day .
30,in the blink of an eye ,"I had a beautiful family, a nice home, and lots of money. And then, in the blink of an eye , it was all gone."
31,in the dark,Kevin says he was completely in the dark about the CEO’s plans to sell the company.
32,in the nick of time,"We were going to leave without you, but you got here just in the nick of time ."
33,month of Sundays,I’m glad you dropped by! It’s been a month of Sundays since I saw you last.
34,on the spot,"When I said I would move to New York, she offered me the job on the spot ."
35,Once in a,"Once in a blue moon you see the Aurora here, but it’s not like farther north."
36,once in a while ,"I don’t want to live in the city, but I enjoy visiting once in a while ."
37,seize the day,We should seize the day while prices are low. That won’t last forever.
38,twenty-four seven ,"If you have problems, call me twenty-four seven ; it doesn’t matter if I’m sleeping."
39,"Year in, year out","Our holiday party is such a bore. Year in, year out the owner makes the same dumb jokes."
40,a million and one,I have a million and one ideas.
41,all in one piece,He got home from the party all in one piece .
42,back to square one,"The project failed, we’re back to square one ."
43,been in seventh heaven,I’ve been in seventh heaven ever since I got engaged!
44,by the book ,You don’t have to do this totally by the book .
45,had one too many,"I can’t drive, I had one too many ."
46,nine-to-five job,I wouldn’t want a nine-to-five job .
47,on cloud nine,"When my mom bought me a computer, I was on cloud nine ."
48,put in my two cents,I put in my two cents at the meeting.
49,a tall order,"I can try, but completing the whole ad campaign by the end of the month is a tall order ."
50,by a whisker,"The runner was far ahead for most of the race, but at the end she won only by a whisker ."
51,fifth wheel,I’m not really part of your group. If I come to the party I’ll just be a fifth wheel .
52,hit the road,We better hit the road before traffic get seven worse.
53,just around the corner,New Year’s Eve is just around the corner . Have you made party plans yet?
54,off his trolley,My brother just spent a lot of money on really questionable stocks. I think he’s off his trolley .
55,on the fly,I’ll eat dinner on the fly and meet you at 8.
56,put the brakes on,Higher coal prices put the brakes on industrial activities in the second quarter.
57,Put the pedal to the metal,I’m late for my best friend’s wedding. Put the pedal to the metal! 
58,hell for leather ,"After work I drove home hell for leather , but I still missed my daughter’s birthday party."
59, quick-and-dirty,"It will take time to get the final cost, but a quick-and-dirty estimate would be $45,000."
60,quick as a flash ,I’ll have the order done quick as a flash – probably by the time you get back to your office.
61,chop chop,"Sure, come into the office, and we can get the documents you need chop chop ."
62,pull the plug on,We’re going to pull the plug on our operation in Taiwan. It’s just not succeeding.
63,like shooting fish in a barrel ,Passing this quiz will be like shooting fish in a barrel . I’ve studied a lot.
64,straight arrow ,Jim is a straight arrow .
65,as safe as houses,I’ve locked the door. They’re as safe as houses .
66,house of correction,She said he’s out of the house of correction .
67,threw in the towel,"After struggling with my homework, I finally threw in the towel and went to bed."
68,throwing his money down the drain,That’s a worthless investment. He’s throwing his money down the drain .
69,hit the roof,"When I found out Tom crashed my car, I hit the roof ."
70,smokes like a chimney,Jeff smokes like a chimney . I worry about his health.
71,went out the window,His diet went out the window during the holidays.
72,make yourself at home,Please come in and make yourself at home .
73,iron out ,"There are just a few difficulties to iron out , and then we’ll be ready to sign the contract."
74,out of your gourd,You’re going to jump down from that ledge? Are you out of your gourd? 
75,bed of roses ,Life isn’t always going to be a bed of roses . You have to learn to deal with adversity.
76,Mother Nature,"As anyone who has experienced a hurricane knows, Mother Nature can be a frightening force."
77,pushing up daisies,I’ll be pushing up daisies before my daughter decides to get married.
78,through the grapevine,I heard through the grapevine that Ivan and Amber are going out. Is it true?
79,too many competitors to shake a stick at,Two years ago we had the field to ourselves with this project. Now there are too many competitors to shake a stick at .
80,a cold day in July,It’ll be a cold day in July when our team wins the championship. We’re terrible.
81,all wet,"If you think I’m going to climb that rickety ladder, you’re all wet! "
82,be a breeze,"I stayed up all night studying for that exam, and then it turned out to be a breeze! "
83,come rain or shine,"I listen to the music every day, come rain or shine ."
84,heavens open,Let’s come back soon before the heavens open! 
85,on cloud nine,Cindy was on cloud nine after her boyfriend proposed to her.
86,raining cats and dogs ,It’s been raining cats and dogs all day. I’m afraid the roof is going to leak.
87,right as rain,"Once again, John is right as rain . We should sell the Chicago office building."
88,soak up some sun,Let’s go out and soak up some sun .
89,when hell freezes over,Tom stole cameras when he worked here. I’ll hire him back when hell freezes over .
90,no spring chicken,"She’s no spring chicken , but she’s still very good looking."
91,dead ringer,She’s a dead ringer for her older sister.
92,knockout,"When Samantha was in her teens she looked ordinary, but in her early 20s she turned into a real knockout! ."
93,put my face on,"Let me just put my face on , and I’ll meet you at the restaurant in 15 minutes."
94,to the best of my knowledge,"He never made a will, to the best of my knowledge ."
95,as far as I can throw,Don’t lend her money. I trust her about as far as I can throw her.
96,sharp as a tack,"My grandmother is 92 years old, but she’s still sharp as a tack ."
97,around the bend,I’d tell you if you were going around the bend .
98,hit the books,"OK, I’ll come to the party Friday. But Saturday it’ll be time to hit the books ."
99,hit the hay,I have to get up at 5 tomorrow morning. It’s time to hit the hay .
100,in touch,"I’ll be out of town this weekend, but I’ll be in touch when I get back Sunday night."
101,lost touch,Social media are great for finding old friends with whom you’ve lost touch .
102,playing with fire,You’re playing with fire if you keep driving that car-the floor under the seat is almost completely rusted out.
103,rings a bell,The name Susan Thompson rings a bell . I think she worked here-let me look it up.
104,get all bent out of shape,I was just making a suggestion. Don’t get all bent out of shape out it.
105,stabbed me in the back ,Sophia acted like she was my friend. But then she stabbed me in the back and went out with my boyfriend.
106,110-proof,Bob is a 110-proof Conservative – I’ve never seen him vote for a Labor candidate.
107,amber nectar,"The beer market used to be controlled by large companies, but now many small firms are producing the amber nectar ."
108,in his cups,Don’t bother Joseph when he’s in his cups – he’s very irritable.
109,one for the road,Give me a beer. I’m having one for the road .
110,paint the town red,I just finished my last exam. Let’s go out and paint the town red! .
111,wet your whistle,You’ve been out in the sun for two hours. Come on in and wet your whistle! .
112,ace in the hole ,The new engine design is our ace in the hole – but we have to keep it secret from our competitors.
113,in the cards,I don’t think a recession is in the cards this year. Consumer confidence is very strong.
114,roll the dice on,"I’m going to roll the dice on the plant renovation. If the market collapses we’ll be in trouble, but I think it’s needed."
115,babe magnet," I like to go out to the bars with John-he’s a real babe magnet , so I get to meet lots of women too."
116,s a barrel of laughs,I always have so much fun when Katie’s around—she’s a barrel of laughs! .
117,full of the joys of spring,You look full of the joys of spring this morning.
118,had a ball,The kids really had a ball at the birthday party—they won’t stop talking about it!
119,had a whale of a time,We had a whale of a time on holiday.
120,Let your hair down,"Come on, Jim, this is a party! Let your hair down and go a little wild!"
